Date,Open,High,Low,Vol.,MAD,Price,BuySell
2014-01-09,938.8,964.6,866.5,14420.0,0.0,895.937034746496,Pass
2014-01-10,937.0,964.8,905.9,6350.0,0.0,921.0437706088271,Pass
2014-01-14,922.9,942.5,904.2,4310.0,0.0,907.2809096999569,Pass
2014-01-17,913.5,929.8,867.2,10310.0,0.0,878.2946522244705,Pass
2014-01-19,905.7,958.1,901.9,7570.0,935.45,945.9833319401469,Pass
2014-01-21,956.0,974.3,943.2,6590.0,930.96,958.4078828715533,Pass
2014-01-24,944.2,949.5,902.9,6200.0,933.93,917.8602044726072,Pass
2014-01-25,916.5,978.4,915.9,8180.0,935.9100000000001,967.1831215522292,Pass
2014-01-28,943.5,972.6,911.7,10410.0,952.89,944.9543567635826,Pass
2014-02-01,938.8,969.2,927.8,4370.0,945.1199999999999,954.1138970583514,Pass
2014-02-03,953.3,959.6,931.7,2790.0,947.55,939.8941805406745,Pass
2014-02-05,926.6,939.8,890.0,7560.0,933.86,910.7300012657556,Buy
2014-02-06,904.5,908.8,800.9,18600.0,922.4,840.1243033888148,Pass
2014-02-07,828.9,833.1,651.7,49910.0,898.7,720.5831511089921,Pass
2014-02-08,695.7,719.3,632.1,22880.0,871.01,676.8483882524455,Pass
2014-02-09,648.8,694.1,622.5,19890.0,842.8299999999999,672.9610715202106,Pass
2014-02-14,451.4,500.0,302.2,65820.0,630.9300000000001,404.1109829173271,Pass
2014-02-18,272.3,370.1,248.3,48880.0,446.86,346.80856799915665,Pass
2014-02-20,261.5,271.6,109.2,102180.0,359.98,175.6476473919365,Pass
2014-02-21,111.9,160.1,91.7,82590.0,313.24,143.6436446222845,Pass
2014-02-22,111.6,290.6,96.7,72170.0,285.69,266.24141154719956,Pass
2014-02-26,135.8,650.0,522.8,600.0,252.0,840.5763286456952,Sell
2014-03-04,662.2,686.2,645.2,1370.0,480.95,666.2784716310862,Pass
2014-03-05,661.8,666.0,636.8,1260.0,515.76,643.5374122083994,Pass
2014-03-06,658.3,661.8,636.2,2070.0,563.1899999999999,642.0424032124849,Pass
2014-03-07,648.3,655.2,600.3,2340.0,611.28,620.6299157570979,Pass
